      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;0   ;    ;    ;                        ;EconomicaIngresos                                                                                                                                                                                       ;EconomicaIngresos                                                                                                                                                                                       ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;00                      ;PersonalFuncionarioEnPracticas SueldosDelGrupoA1                                                                                                                                                        ;PersonalFuncionarioEnPracticas_SueldosDelGrupoA1                                                                                                                                                        ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;01                      ;PersonalFuncionarioEnPracticas SueldosDelGrupoA2                                                                                                                                                        ;PersonalFuncionarioEnPracticas_SueldosDelGrupoA2                                                                                                                                                        ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;02                      ;PersonalFuncionarioEnPracticas SueldosDelGrupoB                                                                                                                                                         ;PersonalFuncionarioEnPracticas_SueldosDelGrupoB                                                                                                                                                         ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;03                      ;PersonalFuncionarioEnPracticas SueldosDelGrupoC1                                                                                                                                                        ;PersonalFuncionarioEnPracticas_SueldosDelGrupoC1                                                                                                                                                        ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;04                      ;PersonalFuncionarioEnPracticas SueldosDelGrupoC2                                                                                                                                                        ;PersonalFuncionarioEnPracticas_SueldosDelGrupoC2                                                                                                                                                        ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;05                      ;PersonalFuncionarioEnPracticas SueldosDelGrupoE                                                                                                                                                         ;PersonalFuncionarioEnPracticas_SueldosDelGrupoE                                                                                                                                                         ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;06                      ;PersonalFuncionarioEnPracticas Trienios                                                                                                                                                                 ;PersonalFuncionarioEnPracticas_Trienios                                                                                                                                                                 ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;4   ;09                      ;PersonalFuncionarioEnPracticas OtrasRetribucionesBasicas                                                                                                                                                ;PersonalFuncionarioEnPracticas_OtrasRetribucionesBasicas                                                                                                                                                ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;2   ;7   ;                        ;PersonalFuncionario ContribucionesAPlanesYFondosDePensiones                                                                                                                                             ;PersonalFuncionario_ContribucionesAPlanesYFondosDePensiones                                                                                                                                             ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;    ;                        ;ImpuestoSobreLasActividadesEconomicas                                                                                                                                                                   ;ImpuestoSobreLasActividadesEconomicas                                                                                                                                                                   ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;    ;                        ;PersonalLaboral                                                                                                                                                                                         ;PersonalLaboral                                                                                                                                                                                         ; 994147,17;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;0   ;                        ;ImpuestoSobreActividadesEconomicas                                                                                                                                                                      ;ImpuestoSobreActividadesEconomicas                                                                                                                                                                      ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;0   ;                        ;LaboralFijo                                                                                                                                                                                             ;LaboralFijo                                                                                                                                                                                             ;  892907,9;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;0   ;00                      ;PersonalLaboral LaboralFijo RetribucionesBasicas                                                                                                                                                        ;PersonalLaboral_LaboralFijo_RetribucionesBasicas                                                                                                                                                        ;  892907,9;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;0   ;01                      ;HorasExtraordinarias                                                                                                                                                                                    ;HorasExtraordinarias                                                                                                                                                                                    ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;0   ;02                      ;PersonalLaboral LaboralFijo OtrasRemuneraciones                                                                                                                                                         ;PersonalLaboral_LaboralFijo_OtrasRemuneraciones                                                                                                                                                         ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;1   ;                        ;LaboralTemporal                                                                                                                                                                                         ;LaboralTemporal                                                                                                                                                                                         ; 101239,27;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;2   ;                        ;PersonalLaboral RetribucionesEnEspecie                                                                                                                                                                  ;PersonalLaboral_RetribucionesEnEspecie                                                                                                                                                                  ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;3   ;7   ;                        ;PersonalLaboral ContribucionesAPlanesYFondosDePensiones                                                                                                                                                 ;PersonalLaboral_ContribucionesAPlanesYFondosDePensiones                                                                                                                                                 ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;4   ;    ;                        ;OtroPersonal                                                                                                                                                                                            ;OtroPersonal                                                                                                                                                                                            ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;4   ;3   ;                        ;OtroPersonal OtroPersonal                                                                                                                                                                               ;OtroPersonal_OtroPersonal                                                                                                                                                                               ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;4   ;7   ;                        ;OtroPersonal ContribucionesAPlanesYFondosDePensiones                                                                                                                                                    ;OtroPersonal_ContribucionesAPlanesYFondosDePensiones                                                                                                                                                    ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;5   ;    ;                        ;IncentivosAlRendimiento                                                                                                                                                                                 ;IncentivosAlRendimiento                                                                                                                                                                                 ;     48000;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;5   ;0   ;                        ;Productividad                                                                                                                                                                                           ;Productividad                                                                                                                                                                                           ;      8000;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;5   ;1   ;                        ;Gratificaciones                                                                                                                                                                                         ;Gratificaciones                                                                                                                                                                                         ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;5   ;2   ;                        ;OtrosIncentivosAlRendimiento                                                                                                                                                                            ;OtrosIncentivosAlRendimiento                                                                                                                                                                            ;     40000;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;5   ;3   ;                        ;ComplementoDeDedicacionEspecial                                                                                                                                                                         ;ComplementoDeDedicacionEspecial                                                                                                                                                                         ;         0;         0;         0;         0
      2014;I    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;6   ;    ;                        ;RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma                                                                                                                                           ;RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma                                                                                                                                           ;         0;         0;         0;         0
      2014;G    ;PRESUPUESTO         ;02;ALTO GALLEGO                                      ;1   ;6   ;    ;                        ;CuotasPrestacionesYGastosSocialesACargoDelEmpleador                                                                                                                                                     ;CuotasPrestacionesYGastosSocialesACargoDelEmpleador                                                                                                                                                     ;    457000;         0;         0;         0
