EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2021;12500;395005;91003;Multas y sanciones de Sanidad, B. Social y Familia;600000
2021;12500;395100;91003;Multas y sanciones;5550000
2021;12500;400010;91003;Transf. Extraordinaria Financiación Autonómica;405056385,58
2021;12500;400050;91003;Fondo Suficiencia Global;277374950
2021;12500;400051;91003;Fondo de Garantía Servicios Públicos Fundamentales;191077260
2021;12500;400150;91003;FondoSuficiencia Global liquidación ej. anteriores;-3044900
2021;12500;400151;91003;Fondo de Garantía Serv Púb. Fund. Ejer. anteriores;52890680
2021;12500;400170;91003;Fondos de Convergencia Autonómica Ejerc. Anterior;50774000
2021;12500;400402;91003;Cancelación Anticipos a Comunidades Autónomas;-35375400
2021;12500;402003;39137;Bono Social Térmico;3167000
2021;12500;403004;91003;Estadística agraria;70000
2021;12500;403099;34015;Otras subvenciones de Agricultura, Gan. y M.A.;232000
2021;12500;403099;36001;Otras subvenciones de Agricultura, Gan. y M.A.;626405,41
2021;12500;403099;34062;Otras subvenciones de Agricultura, Gan. y M.A.;130150
2021;12500;403099;34061;Otras subvenciones de Agricultura, Gan. y M.A.;38000
2021;12500;403099;34045;Otras subvenciones de Agricultura, Gan. y M.A.;220400
2021;12500;403099;34017;Otras subvenciones de Agricultura, Gan. y M.A.;374336,02
2021;12500;403099;34016;Otras subvenciones de Agricultura, Gan. y M.A.;20000
2021;12500;403099;34011;Otras subvenciones de Agricultura, Gan. y M.A.;180000
2021;12500;404003;35005;Pensiones a ancianos y enfermos;8500
2021;12500;404005;35012;Plan de desarrollo gitano;8302,34
2021;12500;404006;35013;Prestaciones básicas de Servicios Sociales;1372140
2021;12500;404009;35014;Erradicación de la pobreza;657292
2021;12500;404021;39054;Víctimas violencia de género;369600
2021;12500;404021;39092;Víctimas violencia de género;300000
2021;12500;404021;39135;Víctimas violencia de género;2892000
2021;12500;404099;37001;Otras subv. Empleo y de Servicios Sociales;8975000
2021;12500;405001;39015;Fomento de la donación y trasplante de órganos;63000
2021;12500;405003;39018;Actuaciones en drogodependencias;471257
2021;12500;405005;39016;Junta Arbitral de Consumo;38783,56
2021;12500;405006;39027;Políticas de cohesión y estrategias de salud;130000
2021;12500;405007;39049;Form.Cont.Uso racional del medicamento para médic.;665985
2021;12500;407018;39122;Calidad en Formación Profesional;563171,64
2021;12500;407019;39122;Formación Profesional Dual;268498,6
2021;12500;407099;39026;Otras subvenciones  Educación, Cultura y Deporte;5000
2021;12500;407099;39108;Otras subvenciones  Educación, Cultura y Deporte;99683,45
2021;12500;407099;39107;Otras subvenciones  Educación, Cultura y Deporte;159990,73
2021;12500;407099;39141;Otras subvenciones  Educación, Cultura y Deporte;121744,8
2021;12500;407099;39140;Otras subvenciones  Educación, Cultura y Deporte;7070680,68
2021;12500;419000;39042;Centro Superior Deportes: Fomento actividad depor.;45000
2021;12500;420000;91003;Fondo programa de Ahorro e incapacidad temporal;10100000
2021;12500;421001;91003;Plan Acción a favor de pers. situación dependencia;67692000
2021;12500;480001;91003;Juegos escolares;210228
2021;12500;492200;14201;Programa Operativo FEDER 2014-2020;1029316
2021;12500;492201;14202;PProg Op. INTERREG V-A-ESPAÑA-FRA-AND 2014-2020;198000
2021;12500;493200;11201;Fondo Social Europeo- Programa Operativo 2014-2020;10021967,57
2021;12500;496000;12101;Agricultura -Política Agraria Común;440500000
2021;12500;496009;12101;Agricultura- Otras subvenciones corrientes;1303276,46
2021;12500;497000;12202;Fondo Europeo Agrícola de Desarrollo Rural;6338020,9
2021;12500;499000;19001;Punto de Información Europea;33050
2021;12500;499099;19008;Otras subvenciones del exterior;8100
2021;12500;499099;19090;Otras subvenciones del exterior;6191893,6
2021;12500;511000;91003;Intereses de Préstamos Concedidos;500000
2021;12500;511003;91003;Intereses por prestamos BEI convenio 2013;112344,45
2021;12500;512000;91003;Intereses de Avales Otorgados;187372,63
2021;12500;520000;91003;Intereses;55000
2021;12500;540001;91003;Renta de Inmuebles;91563,03
2021;12500;540008;91003;Arrendamientos de locales;1500
2021;12500;540009;91003;Alquileres de viviendas;400000
2021;12500;550001;91003;Cánones de concesiones;1200000
2021;12500;552003;72013;De protección y gestión de los montes;798175,87
2021;12500;553000;91003;Cánones de I.T.V. privadas;5600000
2021;12500;553003;91003;De Educación, Universidad, Cultura y Deporte;7000
2021;12500;553008;91003;Cánones, gestión de residuos;800000
2021;12500;553009;91003;Otros cánones;14447
2021;12500;590009;91003;Otros ingresos patrimoniales;66734,64
2021;12500;702001;36004;Acciones prioritarias: incendios forestales;2394877,4
2021;12500;702002;36008;AREAS INFLUENCIA SOCIO-ECON. PARQUES NACIONALES;185000
2021;12500;702009;36001;Otras subvenciones en materia de Medio Ambiente;177966,67
2021;12500;702009;36006;Otras subvenciones en materia de Medio Ambiente;400000
2021;12500;702009;36012;Otras subvenciones en materia de Medio Ambiente;421203
2021;12500;702009;36014;Otras subvenciones en materia de Medio Ambiente;264971,54
2021;12500;702009;39128;Otras subvenciones en materia de Medio Ambiente;1009987,97
2021;12500;704002;39127;Plan de vivienda;14136000
2021;12500;705006;34021;Campañas de sanidad animal;181666,15
2021;12500;705006;34039;Campañas de sanidad animal;100000
2021;12500;705008;34006;Apicultura;107000
2021;12500;705009;34046;Otras subvenciones de capital;136075,28
2021;12500;705009;34047;Otras subvenciones de capital;3975204,3
2021;12500;705013;34015;Semillas y plantas de viveros;82263
2021;12500;705014;34007;Industrias Agrarias;2786165,07
2021;12500;705015;34059;Modernización de explotaciones;891645,85
2021;12500;705017;34017;Lucha contra agentes nocivos;141899,83
2021;12500;705018;34023;Control lechero;50000
2021;12500;705021;34004;Agroambientales;122977,62
2021;12500;705022;34031;Cese anticipado;3648,14
2021;12500;705026;34016;Nuevas variedades vegetales;110884
2021;12500;706005;39138;Programa PREE. Rehabilitación;107280
2021;12500;709001;32221;Plan Especial de Teruel;30000000
2021;12500;719003;32100;Plan de la Minería;4679622,35
2021;12500;740002;39136;Programa MOVES;540193,21
2021;12500;792002;14208;Programa Interregional Europe FEDER;182623,1
2021;12500;792002;14106;Programa Interregional Europe FEDER;25342,95
2021;12500;792200;14201;Programa Operativo FEDER 2014-2020;14997952
2021;12500;792201;14202;Prog Op. INTERREG V-A-ESPAÑA-FRA-AND 2014-2020;18571,43
2021;12500;792203;14209;EUROPA REACT-UE;216000000
2021;12500;796000;12101;Fondo Europeo Agrícola de Garantía;12000000
2021;12500;796002;12101;Plan Nacional Apícola;214000
2021;12500;796006;12101;Otras subvenciones FEAGA;300000
2021;12500;797000;12202;Forestación;952500
2021;12500;797001;12202;Agroambientales;10598039
2021;12500;797002;12202;Cese Anticipado;10176,46
2021;12500;797003;12202;Indemnización Compensación Básica;5049656,7
2021;12500;797005;12202;Creación de regadíos;3123616,41
2021;12500;797006;12202;Modernización de regadíos;7450550,41
2021;12500;797012;12202;P.D.R.- Transf. y comercializ. productos agrícolas;7771936
2021;12500;797013;12202;PDR Medidas forestales;1497849,65
2021;12500;797014;12202;PDR Concentración  parcelaria;196770,63
2021;12500;797018;12202;PDR Protección del  Medio Ambiente;6181519,07
2021;12500;797025;12202;P.D.R- Inversiones en explotaciones agrícolas;3266322,62
2021;12500;797026;12202;P.D.R- Instalaciones jóvenes agricultores;10844128
2021;12500;797099;12202;Otras transferencias de capital;12027307,26
2021;12500;798000;15101;Fondo Europeo de Pesca;645832,8
2021;12500;799000;19007;Otras subvenciones del exterior;56085,65
2021;12500;821002;91003;Reintegros préstamos a largo plazo, convenios BEI;12500000
2021;12500;821009;91003;Reintegros a largo plazo de vivienda y rehab.;1560200
2021;12500;910000;91003;Préstamos recibidos a largo plazo;72952933,24
2021;12500;910105;91003;Préstamos L/P Fondo Liquidez Autonómico Déficit;405056385,58
2021;12500;910106;91003;Préstamos L/P Fondo Liquidez Autonómico Vencimient;914482235,26
2021;12500;910107;91003;Préstamos L/P Fondo Liquidez Autonómico Liq.Negati;35375400
2021;12500;921000;91003;Préstamos recibidos a corto plazo;350000000
2021;51000;330002;91003;Precios Públicos de los Centros de Form del INAEM;1500
2021;51000;380012;91003;Reint. ejerc. cerrados Instituto Aragonés Empleo;1000000
2021;51000;398001;91003;Recargo de apremio;30000
2021;51000;398002;91003;Intereses de demora;20000
2021;51000;404099;39071;Otras subv. Empleo y de Servicios Sociales;104100
2021;51000;413000;33002;Conferencia Sectorial de Empleo;1333477,2
2021;51000;413000;33004;Conferencia Sectorial de Empleo;29918034,55
2021;51000;413000;39008;Conferencia Sectorial de Empleo;146044
2021;51000;413000;33005;Conferencia Sectorial de Empleo;33040977,29
2021;51000;520000;91003;Intereses;480
2021;51000;713009;33005;Otras subvenciones Serv. Público de Empleo INEM;300000
2021;51000;713009;33002;Otras subvenciones Serv. Público de Empleo INEM;420000
2021;52000;319115;91003;Prestación de servicios en hospitales del SALUD;15100000
2021;52000;780009;72019;Otras Transferencias De Familias Y Otras Instituc.;2707500
2021;53000;319100;91003;Prestación de Servicios en Residencias IASS;11400000
2021;53000;319102;91003;Prest. Servicios Centros Sociales y clubs IASS;175000
2021;53000;319116;91003;Prestación de Servicios en Residencias;5000000
2021;53000;319200;91003;Prestación Servicios - Copagos;300000
2021;53000;395005;91003;Multas y sanciones de Sanidad, B. Social y Familia;5000
2021;53000;396005;91003;Ing.diversos.Rec eventuales.Sanidad, B Social y Fa;50000
2021;53000;412001;33004;Escuelas Taller;172527,78
2021;53000;553010;91003;Canones del IASS;25000
2021;54000;520000;91003;Intereses;5000
2021;55000;319104;91003;Prestación de servicios por Carnés Juveniles;2000
2021;55000;319107;91003;Prestación de servicios en albergues;51602,23
2021;55000;319108;91003;Prestación de servicios del Carné Joven;349030,5
2021;55000;319116;91003;Prestación de Servicios en Residencias;630256,06
2021;55000;553009;91003;Otros cánones;7700
2021;71000;792200;14201;Programa Operativo FEDER 2014-2020;2731125,73
2021;72000;230000;91003;Impuesto s/contaminación de las aguas;69100000
2021;72000;329001;91003;Tasa 01- Dirección e inspección de obras;100000
2021;72000;329049;91003;TASA 49.- CLASIF.APROB. PLANES EMERG. P.E.BALSAS;50000
2021;72000;330009;91003;Tratamiento fosas sépticas;190000
2021;72000;395100;91003;Multas y sanciones;65000
2021;72000;396100;91003;Ingresos diversos. Recursos eventuales;250000
2021;72000;398001;91003;Recargo de apremio;300000
2021;72000;398002;91003;Intereses de demora;15000
2021;72000;520000;91003;Intereses;2237
2021;72000;821001;91003;Reintegros préstamos convenios con EE Locales;23414
2021;73000;329020;91003;Tasa 20-Aut, Insp y actu. cen y est. farmaceúticos;5000
2021;73000;329035;91003;Tasa 35- Tasa eval. ensayos clínicos y p. sanitari;15000
2021;73000;330010;91003;Servicios Investigación Biomédica;811000
2021;73000;393005;91003;Cursos y otros ingresos de Sanidad, BS y Familia;120000
2021;73000;396005;91003;Ing.diversos.Rec eventuales.Sanidad, B Social y Fa;3000
2021;73000;405099;39053;Otras subvenciones en materia de Salud y Consumo;1090752,3
2021;73000;411009;55002;Otras subvenciones del Servicio Aragonés de Salud;514000
2021;73000;440002;91003;Transferencia de la Universidad de Zaragoza;165500
2021;73000;440003;91003;Transf. Inst. Investigación Sanitaria de Aragón;100000
2021;73000;470009;72009;Otras subvenciones de empresas;1000836,23
2021;73000;499099;19090;Otras subvenciones del exterior;557200,01
2021;73000;709009;39053;Otras subvenciones de capital;50514,7
2021;73000;711009;55002;Otras subvenciones del Servicio Aragonés de Salud;186000
2021;73000;770010;72009;proyectos producción y transferencia conocimiento;133137,25
2021;73000;799000;19090;Otras subvenciones del exterior;61911,11
2021;74000;319319;72012;Prestación de Servicios en laboratorios;50000
2021;74000;319320;72012;Prestación servicios investigación agroalimentaria;700000
2021;74000;381100;91003;Reintegros de ejercicio corriente;50000
2021;74000;450008;91003;Aportaciones Departamentos D.G.A.;120000
2021;74000;552000;72012;De investigación agraria;1000000
2021;74000;552005;91003;Aprovechamientos de fincas agrícolas;150000
2021;74000;707003;39037;Plan Nacional de Investigación;1200000
2021;74000;750008;55007;Aportaciones Departamentos D.G.A.;700000
2021;74000;760009;51007;Otras subvenciones de Diputaciones Provinciales;50000
2021;74000;799000;19090;Otras subvenciones del exterior;381368
2021;75000;329016;91003;Tasa 16-Expedición licencias caza y pesca;1970000
2021;75000;329017;91003;Tasa 17-S. facul. montes, forestales y v. pecuaria;100000
2021;75000;329026;91003;Tasa 26-Tasa servicios gestión de los cotos;900000
2021;75000;329028;91003;Tasa 28-Tasa ser.adm. protección del medio ambient;925000
2021;75000;329029;91003;Tasa 29-Tasa S.Adm. conservación biodiversidad;29000
2021;75000;329034;91003;Tasa 34-S. admtivos. calificación ambien act. clas;280000
2021;76000;330014;91003;Ingresos de BST;10246982,02
2021;76000;396010;91003;Ingresos diversos Bco Sangre y Tejidos de Aragón;25000
2021;77000;319323;91003;Prestación Servicios o Actividades Propias ACPUA;20000
2021;78000;499099;14104;Otras subvenciones del exterior;77951
2021;78000;499099;19090;Otras subvenciones del exterior;98886,26
2021;78000;511000;91003;Intereses de Préstamos Concedidos;29854,26
2021;78000;540001;91003;Renta de Inmuebles;972727,6
2021;78000;820000;91003;Reintegros varios de préstamos a corto plazo;150097,21
