EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2014;01010;1111;227006;91002;Estudios y trabajos técnicos;9.000,00
2014;01010;1111;227009;91002;Otros trabajos realizados por otras empresas;587.587,16
2014;01010;1111;230000;91002;Dietas;505.000,00
2014;01010;1111;231000;91002;Locomoción;505.000,00
2014;01010;1111;239000;91002;Otras indemnizaciones;110.000,00
2014;01010;1111;250000;91002;Gastos en pruebas selectivas;1.000,00
2014;01010;1111;251000;91002;Realización de cursos de formación interna;1.000,00
2014;01010;1111;359000;91002;Otros gastos de depósitos, fianzas y avales;601,00
2014;01010;1111;480189;91002;Subvenciones a Grupos Parlamentarios;3.345.364,00
2014;01010;1111;480190;91002;Conciertos y convenios de las Cortes de Aragón;185.552,20
2014;01010;1111;603000;91002;Maquinaria, instalación y utillaje;147.124,73
2014;01010;1113;120000;91002;Sueldos de Personal Funcionario;51.086,64
2014;01010;1113;120005;91002;Trienios de Personal Funcionario;20.663,40
2014;01010;1113;120006;91002;Pagas extraordinarias de Personal Funcionario;18.826,70
2014;01010;1113;121000;91002;Complemento de destino de Personal Funcionario;23.694,84
2014;01010;1113;121001;91002;Complemento específico de Personal Funcionario;17.515,32
2014;01010;1113;130000;91002;Salario base de Personal Laboral Fijo;23.696,04
2014;01010;1113;130001;91002;Antigüedad de Personal Laboral Fijo;12.745,20
2014;01010;1113;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;8.014,68
2014;01010;1113;130003;91002;Otras remuneraciones de Personal Laboral Fijo;12.390,12
2014;01010;1113;150000;91002;Productividad fija de Funcionarios;4.905,48
2014;01010;1113;160000;91002;Seguridad social;40.741,57
2014;01010;1113;212000;91002;Rep. y conservación edificios y otras construcc.;15.000,00
2014;01010;1113;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;1.500,00
2014;01010;1113;220003;91002;Libros y otras publicaciones;15.000,00
2014;01010;1113;221009;91002;Otros suministros;15.000,00
2014;01010;1113;226002;91002;Gastos de divulgación y promoción;75.000,00
2014;01010;1113;227000;91002;Limpieza y aseo;42.641,16
2014;01010;1113;227001;91002;Seguridad;195.132,84
2014;01010;1113;227006;91002;Estudios y trabajos técnicos;4.000,00
2014;01010;1113;227009;91002;Otros trabajos realizados por otras empresas;398.000,00
2014;01010;1113;359000;91002;Otros gastos de depósitos, fianzas y avales;601,00
2014;01020;1112;100000;91002;Retribuciones básicas de Altos Cargos;28.372,68
2014;01020;1112;100001;91002;Otras remuneraciones de Altos Cargos;42.801,92
2014;01020;1112;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;449.406,86
2014;01020;1112;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;375.699,94
2014;01020;1112;120000;91002;Sueldos de Personal Funcionario;126.027,60
2014;01020;1112;120005;91002;Trienios de Personal Funcionario;102.809,08
2014;01020;1112;120006;91002;Pagas extraordinarias de Personal Funcionario;44.300,48
2014;01020;1112;121000;91002;Complemento de destino de Personal Funcionario;54.290,04
2014;01020;1112;121001;91002;Complemento específico de Personal Funcionario;44.878,44
2014;01020;1112;122002;91002;Otras retribuciones en especie;18.000,00
2014;01020;1112;150000;91002;Productividad fija de Funcionarios;54.833,16
2014;01020;1112;151000;91002;Gratificaciones de Personal Funcionario;1.000,00
2014;01020;1112;151001;91002;Gratificaciones de Personal no Funcionario;1.000,00
2014;01020;1112;160000;91002;Seguridad social;235.115,82
2014;01020;1112;160001;91002;MUFACE;1.621,48
2014;01020;1112;160009;91002;Otras cuotas sociales;9.333,80
2014;01020;1112;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;1.800,00
2014;01020;1112;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;2.300,00
2014;01020;1112;165000;91002;Fondo de Acción Social;30.200,00
2014;01020;1112;202000;91002;Arrendamientos de edificios y otras construcciones;90,00
2014;01020;1112;206000;91002;Arrendamientos de equipos procesos de información;400,00
2014;01020;1112;212000;91002;Rep. y conservación edificios y otras construcc.;4.000,00
2014;01020;1112;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;20.000,00
2014;01020;1112;214000;91002;Reparación y conservación material de transporte;2.000,00
2014;01020;1112;215000;91002;Reparación y conservación de mobiliario y enseres;450,00
2014;01020;1112;216000;91002;Rep. y conserv. equipos procesos de información;2.500,00
2014;01020;1112;220000;91002;Ordinario no inventariable;9.800,00
2014;01020;1112;220001;91002;Mobiliario y enseres;900,00
2014;01020;1112;220002;91002;Prensa, revistas y publicaciones periódicas;14.400,00
2014;01020;1112;220003;91002;Libros y otras publicaciones;40.000,00
2014;01020;1112;220004;91002;Material informático;3.600,00
2014;01020;1112;220009;91002;Otro material de oficina;500,00
2014;01020;1112;221000;91002;Energía eléctrica;38.000,00
2014;01020;1112;221001;91002;Agua;4.000,00
2014;01020;1112;221003;91002;Combustibles;3.200,00
2014;01020;1112;221004;91002;Vestuario;1.900,00
2014;01020;1112;221009;91002;Otros suministros;1.500,00
2014;01020;1112;222000;91002;Telefónicas;20.000,00
2014;01020;1112;222001;91002;Postales;9.000,00
2014;01020;1112;222002;91002;Telegráficas;40,00
2014;01020;1112;222009;91002;Otras comunicaciones;2.700,00
2014;01020;1112;223000;91002;Transporte;2.700,00
2014;01020;1112;224000;91002;Primas de Edificios y locales;4.500,00
2014;01020;1112;224001;91002;Primas de vehículos;1.700,00
2014;01020;1112;224002;91002;Primas de otro inmovilizado;50,00
2014;01020;1112;224003;91002;Otros riesgos;50,00
2014;01020;1112;226001;91002;Atenciones protocolarias y representativas;17.100,00
2014;01020;1112;226002;91002;Gastos de divulgación y promoción;24.300,00
2014;01020;1112;226005;91002;Reuniones y conferencias;10.800,00
2014;01020;1112;226009;91002;Otros gastos diversos;1.500,00
2014;01020;1112;227000;91002;Limpieza y aseo;53.000,00
2014;01020;1112;227001;91002;Seguridad;42.500,00
2014;01020;1112;227003;91002;Postales;8.500,00
2014;01020;1112;227006;91002;Estudios y trabajos técnicos;9.000,00
2014;01020;1112;227009;91002;Otros trabajos realizados por otras empresas;15.500,00
2014;01020;1112;230000;91002;Dietas;11.500,00
2014;01020;1112;231000;91002;Locomoción;7.000,00
2014;01020;1112;480191;91002;Convenio con el Justicia de Aragón;12.735,18
2014;01030;1114;100000;91002;Retribuciones básicas de Altos Cargos;134.259,48
2014;01030;1114;100001;91002;Otras remuneraciones de Altos Cargos;86.900,74
2014;01030;1114;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;34.438,00
2014;01030;1114;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;20.600,00
2014;01030;1114;120000;91002;Sueldos de Personal Funcionario;613.123,08
2014;01030;1114;120005;91002;Trienios de Personal Funcionario;206.811,06
2014;01030;1114;120006;91002;Pagas extraordinarias de Personal Funcionario;227.039,22
2014;01030;1114;121000;91002;Complemento de destino de Personal Funcionario;297.970,44
2014;01030;1114;121001;91002;Complemento específico de Personal Funcionario;264.672,12
2014;01030;1114;122002;91002;Otras retribuciones en especie;5.855,60
2014;01030;1114;150001;91002;Productividad variable de Funcionarios;109.371,96
2014;01030;1114;151000;91002;Gratificaciones de Personal Funcionario;3.600,00
2014;01030;1114;160000;91002;Seguridad social;268.787,60
2014;01030;1114;160001;91002;MUFACE;12.013,82
2014;01030;1114;160009;91002;Otras cuotas sociales;3.488,24
2014;01030;1114;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;20.000,00
2014;01030;1114;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;3.571,66
2014;01030;1114;165000;91002;Fondo de Acción Social;20.046,42
2014;01030;1114;165001;91002;Fondo de pensiones;10.000,00
2014;01030;1114;206000;91002;Arrendamientos de equipos procesos de información;15.000,00
2014;01030;1114;212000;91002;Rep. y conservación edificios y otras construcc.;30.000,00
2014;01030;1114;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;3.000,00
2014;01030;1114;215000;91002;Reparación y conservación de mobiliario y enseres;2.500,00
2014;01030;1114;216000;91002;Rep. y conserv. equipos procesos de información;3.000,00
2014;01030;1114;220000;91002;Ordinario no inventariable;14.500,00
2014;01030;1114;220001;91002;Mobiliario y enseres;5.000,00
2014;01030;1114;220002;91002;Prensa, revistas y publicaciones periódicas;9.000,00
2014;01030;1114;220003;91002;Libros y otras publicaciones;9.000,00
2014;01030;1114;220004;91002;Material informático;9.000,00
2014;01030;1114;220009;91002;Otro material de oficina;5.000,00
2014;01030;1114;221000;91002;Energía eléctrica;40.000,00
2014;01030;1114;221009;91002;Otros suministros;1.000,00
2014;01030;1114;222000;91002;Telefónicas;14.000,00
2014;01030;1114;222001;91002;Postales;6.000,00
2014;01030;1114;223000;91002;Transporte;3.000,00
2014;01030;1114;224002;91002;Primas de otro inmovilizado;1.000,00
2014;01030;1114;225002;91002;Tributos estatales;1.000,00
2014;01030;1114;226000;91002;Cánones;50.000,00
2014;01030;1114;226001;91002;Atenciones protocolarias y representativas;20.000,00
2014;01030;1114;226002;91002;Gastos de divulgación y promoción;20.000,00
2014;01030;1114;226005;91002;Reuniones y conferencias;26.000,00
2014;01030;1114;226009;91002;Otros gastos diversos;10.000,00
2014;01030;1114;227000;91002;Limpieza y aseo;50.000,00
2014;01030;1114;227001;91002;Seguridad;60.000,00
2014;01030;1114;227006;91002;Estudios y trabajos técnicos;97.441,44
2014;01030;1114;230000;91002;Dietas;35.000,00
2014;01030;1114;231000;91002;Locomoción;20.000,00
2014;01030;1114;251000;91002;Realización de cursos de formación interna;10.500,00
2014;01030;1114;603000;91002;Maquinaria, instalación y utillaje;2.000,00
2014;01030;1114;605000;91002;Mobiliario y enseres;5.000,00
2014;01030;1114;606000;91002;Equipos para procesos de información;5.500,00
2014;01030;1114;609000;91002;Inmovilizado Inmaterial;6.000,00
2014;02010;1121;100000;91002;Retribuciones básicas de Altos Cargos;17.071,80
2014;02010;1121;100001;91002;Otras remuneraciones de Altos Cargos;63.903,12
2014;02010;1121;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;131.002,20
2014;02010;1121;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;263.082,16
2014;02010;1121;120000;91002;Sueldos de Personal Funcionario;173.427,72
2014;02010;1121;120005;91002;Trienios de Personal Funcionario;52.529,00
2014;02010;1121;120006;91002;Pagas extraordinarias de Personal Funcionario;74.765,54
2014;02010;1121;121000;91002;Complemento de destino de Personal Funcionario;125.915,40
2014;02010;1121;121001;91002;Complemento específico de Personal Funcionario;268.994,52
2014;02010;1121;130001;91002;Antigüedad de Personal Laboral Fijo;5.023,36
2014;02010;1121;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;500,00
2014;02010;1121;130003;91002;Otras remuneraciones de Personal Laboral Fijo;3.700,00
2014;02010;1121;160000;91002;Seguridad social;272.353,37
2014;02010;1121;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;1.200,00
2014;02010;1121;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;300,00
2014;02010;1121;202000;91002;Arrendamientos de edificios y otras construcciones;5.000,00
2014;02010;1121;204000;91002;Arrendamientos de material de transporte;300,00
2014;02010;1121;205000;91002;Arrendamientos de mobiliario y enseres;1.000,00
2014;02010;1121;212000;91002;Rep. y conservación edificios y otras construcc.;10.000,00
2014;02010;1121;214000;91002;Reparación y conservación material de transporte;30.000,00
2014;02010;1121;215000;91002;Reparación y conservación de mobiliario y enseres;3.000,00
2014;02010;1121;216000;91002;Rep. y conserv. equipos procesos de información;1.000,00
2014;02010;1121;220000;91002;Ordinario no inventariable;25.000,00
2014;02010;1121;220001;91002;Mobiliario y enseres;20.000,00
2014;02010;1121;220002;91002;Prensa, revistas y publicaciones periódicas;14.546,00
2014;02010;1121;220003;91002;Libros y otras publicaciones;19.204,00
2014;02010;1121;220004;91002;Material informático;1.905,00
2014;02010;1121;220009;91002;Otro material de oficina;455,00
2014;02010;1121;221000;91002;Energía eléctrica;1.000,00
2014;02010;1121;221001;91002;Agua;100,00
2014;02010;1121;221002;91002;Gas;100,00
2014;02010;1121;221003;91002;Combustibles;20.000,00
2014;02010;1121;221004;91002;Vestuario;1.179,00
2014;02010;1121;221006;91002;Productos farmacéuticos;568,00
2014;02010;1121;221009;91002;Otros suministros;20.000,00
2014;02010;1121;222000;91002;Telefónicas;40.000,00
2014;02010;1121;222001;91002;Postales;1.000,00
2014;02010;1121;222002;91002;Telegráficas;300,00
2014;02010;1121;222003;91002;Télex y telefax;500,00
2014;02010;1121;222009;91002;Otras comunicaciones;300,00
2014;02010;1121;223000;91002;Transporte;21.000,00
2014;02010;1121;224000;91002;Primas de Edificios y locales;150,00
2014;02010;1121;224001;91002;Primas de vehículos;2.800,00
2014;02010;1121;224003;91002;Otros riesgos;1.779,00
2014;02010;1121;225000;91002;Tributos locales;2.400,00
2014;02010;1121;226000;91002;Cánones;2.100,00
2014;02010;1121;226001;91002;Atenciones protocolarias y representativas;390.358,00
2014;02010;1121;226002;91002;Gastos de divulgación y promoción;106.000,00
2014;02010;1121;226004;91002;Remuneraciones a agentes mediadores independientes;150,00
2014;02010;1121;226005;91002;Reuniones y conferencias;100.000,00
2014;02010;1121;226009;91002;Otros gastos diversos;15.000,00
2014;02010;1121;227000;91002;Limpieza y aseo;400,00
2014;02010;1121;227001;91002;Seguridad;2.100,00
2014;02010;1121;227002;91002;Valoraciones y peritajes;150,00
2014;02010;1121;227006;91002;Estudios y trabajos técnicos;118.000,00
2014;02010;1121;227009;91002;Otros trabajos realizados por otras empresas;53.000,00
2014;02010;1121;230000;91002;Dietas;30.000,00
2014;02010;1121;231000;91002;Locomoción;35.000,00
2014;02010;1121;232000;91002;Traslado;141,00
2014;02010;1121;480001;91002;Fundación Seminario Investigación para la Paz;77.400,00
2014;02010;1121;480005;91002;Ayudas a Comunidades Aragonesas del Exterior;230.000,00
2014;02010;1121;602000;91002;Edificios y otras construcciones;2.500,00
2014;02010;1121;604000;91002;Material de transporte;25.000,00
2014;02010;1121;605000;91002;Mobiliario y enseres;15.000,00
2014;02010;1121;606000;91002;Equipos para procesos de información;5.000,00
2014;02010;1121;780002;91002;Ayudas a Comunidades Aragonesas del Exterior;100.000,00
2014;03010;1125;120000;91002;Sueldos de Personal Funcionario;29.139,84
2014;03010;1125;120005;91002;Trienios de Personal Funcionario;8.812,80
2014;03010;1125;120006;91002;Pagas extraordinarias de Personal Funcionario;11.900,78
2014;03010;1125;121000;91002;Complemento de destino de Personal Funcionario;18.925,44
2014;03010;1125;121001;91002;Complemento específico de Personal Funcionario;36.025,32
2014;03010;1125;160000;91002;Seguridad social;24.956,10
2014;03010;1125;212000;91002;Rep. y conservación edificios y otras construcc.;3.307,00
2014;03010;1125;216000;91002;Rep. y conserv. equipos procesos de información;308,00
2014;03010;1125;220000;91002;Ordinario no inventariable;2.882,00
2014;03010;1125;220001;91002;Mobiliario y enseres;1.000,00
2014;03010;1125;220003;91002;Libros y otras publicaciones;2.000,00
2014;03010;1125;220004;91002;Material informático;753,00
2014;03010;1125;221000;91002;Energía eléctrica;2.710,00
2014;03010;1125;221001;91002;Agua;148,00
2014;03010;1125;221002;91002;Gas;1.620,00
2014;03010;1125;222000;91002;Telefónicas;1.391,00
2014;03010;1125;222001;91002;Postales;500,00
2014;03010;1125;223000;91002;Transporte;1.672,00
2014;03010;1125;225000;91002;Tributos locales;474,00
2014;03010;1125;226000;91002;Cánones;33,00
2014;03010;1125;226001;91002;Atenciones protocolarias y representativas;2.000,00
2014;03010;1125;226005;91002;Reuniones y conferencias;2.000,00
2014;03010;1125;227000;91002;Limpieza y aseo;4.721,00
2014;03010;1125;227001;91002;Seguridad;4.106,00
2014;03010;1125;230000;91002;Dietas;500,00
2014;03010;1125;231000;91002;Locomoción;1.519,00
2014;03010;1125;239000;91002;Otras indemnizaciones;160.000,00
2014;09010;3229;120000;91002;Sueldos de Personal Funcionario;79.124,16
2014;09010;3229;120005;91002;Trienios de Personal Funcionario;16.379,40
2014;09010;3229;120006;91002;Pagas extraordinarias de Personal Funcionario;31.335,14
2014;09010;3229;121000;91002;Complemento de destino de Personal Funcionario;53.696,04
2014;09010;3229;121001;91002;Complemento específico de Personal Funcionario;104.331,60
2014;09010;3229;160000;91002;Seguridad social;66.157,22
2014;09010;3229;212000;91002;Rep. y conservación edificios y otras construcc.;5.000,00
2014;09010;3229;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;1.200,00
2014;09010;3229;220000;91002;Ordinario no inventariable;1.100,00
2014;09010;3229;220002;91002;Prensa, revistas y publicaciones periódicas;3.000,00
2014;09010;3229;220003;91002;Libros y otras publicaciones;1.000,00
2014;09010;3229;221000;91002;Energía eléctrica;5.400,00
2014;09010;3229;221001;91002;Agua;300,00
2014;09010;3229;221009;91002;Otros suministros;800,00
2014;09010;3229;222000;91002;Telefónicas;3.300,00
2014;09010;3229;222001;91002;Postales;2.400,00
2014;09010;3229;223000;91002;Transporte;200,00
2014;09010;3229;226001;91002;Atenciones protocolarias y representativas;1.200,00
2014;09010;3229;226002;91002;Gastos de divulgación y promoción;3.000,00
2014;09010;3229;226005;91002;Reuniones y conferencias;2.000,00
2014;09010;3229;226009;91002;Otros gastos diversos;2.600,00
2014;09010;3229;227000;91002;Limpieza y aseo;9.600,00
2014;09010;3229;227006;91002;Estudios y trabajos técnicos;52.000,00
2014;09010;3229;227009;91002;Otros trabajos realizados por otras empresas;12.000,00
2014;09010;3229;230000;91002;Dietas;20.000,00
2014;09010;3229;480235;91002;Premios Consejo Económico y Social de Aragón;13.000,00
2014;09010;3229;480254;91002;Becas del Consejo Económico y Social de Aragón;10.420,00
2014;09010;3229;606000;91002;Equipos para procesos de información;191,43
2014;10010;1211;100000;91002;Retribuciones básicas de Altos Cargos;14.928,12
2014;10010;1211;100001;91002;Otras remuneraciones de Altos Cargos;49.679,28
2014;10010;1211;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;480.341,40
2014;10010;1211;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;798.356,60
2014;10010;1211;120000;91002;Sueldos de Personal Funcionario;479.305,44
2014;10010;1211;120005;91002;Trienios de Personal Funcionario;135.659,52
2014;10010;1211;120006;91002;Pagas extraordinarias de Personal Funcionario;194.704,00
2014;10010;1211;121000;91002;Complemento de destino de Personal Funcionario;305.357,28
2014;10010;1211;121001;91002;Complemento específico de Personal Funcionario;655.943,88
2014;10010;1211;130000;91002;Salario base de Personal Laboral Fijo;139.797,00
2014;10010;1211;130001;91002;Antigüedad de Personal Laboral Fijo;21.313,38
2014;10010;1211;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;26.273,46
2014;10010;1211;130003;91002;Otras remuneraciones de Personal Laboral Fijo;80.121,52
2014;10010;1211;131000;91002;Salario base de Personal Laboral Eventual;3.000,00
2014;10010;1211;131001;91002;Otras remuneraciones de Personal Laboral Eventual;2.000,00
2014;10010;1211;151000;91002;Gratificaciones de Personal Funcionario;1.500,00
2014;10010;1211;160000;91002;Seguridad social;860.149,66
2014;10010;1211;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;550,00
2014;10010;1211;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;550,00
2014;10010;1211;202000;91002;Arrendamientos de edificios y otras construcciones;80.000,00
2014;10010;1211;203000;91002;Arrendamientos maquinaria, instalación y utillaje;6.000,00
2014;10010;1211;214000;91002;Reparación y conservación material de transporte;5.000,00
2014;10010;1211;215000;91002;Reparación y conservación de mobiliario y enseres;15.000,00
2014;10010;1211;220000;91002;Ordinario no inventariable;20.000,00
2014;10010;1211;220001;91002;Mobiliario y enseres;3.500,00
2014;10010;1211;220002;91002;Prensa, revistas y publicaciones periódicas;6.600,00
2014;10010;1211;220003;91002;Libros y otras publicaciones;35.000,00
2014;10010;1211;220004;91002;Material informático;3.800,00
2014;10010;1211;220009;91002;Otro material de oficina;750,00
2014;10010;1211;221000;91002;Energía eléctrica;1.000,00
2014;10010;1211;221001;91002;Agua;750,00
2014;10010;1211;221002;91002;Gas;1.000,00
2014;10010;1211;221003;91002;Combustibles;15.000,00
2014;10010;1211;221004;91002;Vestuario;1.500,00
2014;10010;1211;221009;91002;Otros suministros;25.000,00
2014;10010;1211;222000;91002;Telefónicas;22.000,00
2014;10010;1211;222001;91002;Postales;2.000,00
2014;10010;1211;223000;91002;Transporte;22.000,00
2014;10010;1211;224003;91002;Otros riesgos;1.000,00
2014;10010;1211;225000;91002;Tributos locales;500,00
2014;10010;1211;226000;91002;Cánones;750,00
2014;10010;1211;226001;91002;Atenciones protocolarias y representativas;7.847,27
2014;10010;1211;226002;91002;Gastos de divulgación y promoción;1.940.000,00
2014;10010;1211;226003;91002;Jurídicos, Contenciosos;20.000,00
2014;10010;1211;226005;91002;Reuniones y conferencias;9.500,00
2014;10010;1211;226009;91002;Otros gastos diversos;2.000,00
2014;10010;1211;227000;91002;Limpieza y aseo;10.000,00
2014;10010;1211;227001;91002;Seguridad;5.000,00
2014;10010;1211;227006;91002;Estudios y trabajos técnicos;160.000,00
2014;10010;1211;227009;91002;Otros trabajos realizados por otras empresas;400.000,00
2014;10010;1211;230000;91002;Dietas;7.000,00
2014;10010;1211;231000;91002;Locomoción;10.000,00
2014;10010;1211;232000;91002;Traslado;5.000,00
2014;10010;1211;239000;91002;Otras indemnizaciones;750,00
2014;10010;1211;440125;91002;Act. mat. des. y dif. est. e investig. Pens. Econó;15.000,00
2014;10010;1211;470066;91002;Convenios Clubs Deportivos;1.000.000,00
2014;10010;1211;480012;91002;Ayudas Postgrados y otros;60.000,00
2014;10010;1211;480025;91002;Programas U.E. Convenios, Estudios e Instituciones;75.000,00
2014;10010;1211;480336;91002;Fundación Montañana Medieval;60.000,00
2014;10010;1211;480346;91002;Convenios Clubs Deportivos;1.300.000,00
2014;10010;1211;480347;91002;Ayudas a Víctimas del Terrorismo;500.000,00
2014;10010;1211;480350;91002;Transferencia Fundación Giménez Abad;20.000,00
2014;10010;1211;480351;91002;Fundación Tarazona Monumental;300.000,00
2014;10010;1211;480370;91002;Con. F.D.A. Promoción D. Escolar e Imagén Aragón;40.000,00
2014;10010;1211;605000;91002;Mobiliario y enseres;12.138,75
2014;10010;1211;606000;91002;Equipos para procesos de información;11.937,50
2014;10010;1266;440002;91002;Corporación Aragonesa de Radio y Televisión;43.000.000,00
2014;10020;1263;120000;91002;Sueldos de Personal Funcionario;506.687,56
2014;10020;1263;120005;91002;Trienios de Personal Funcionario;79.331,40
2014;10020;1263;120006;91002;Pagas extraordinarias de Personal Funcionario;204.970,96
2014;10020;1263;121000;91002;Complemento de destino de Personal Funcionario;359.200,40
2014;10020;1263;121001;91002;Complemento específico de Personal Funcionario;797.948,12
2014;10020;1263;121009;91002;Otras retribuciones complementarias Funcionarios;687,48
2014;10020;1263;151000;91002;Gratificaciones de Personal Funcionario;500,00
2014;10020;1263;160000;91002;Seguridad social;406.207,29
2014;10020;1263;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;1.250,00
2014;10020;1263;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;1.250,00
2014;10020;1263;202000;91002;Arrendamientos de edificios y otras construcciones;11.906,40
2014;10020;1263;215000;91002;Reparación y conservación de mobiliario y enseres;393,46
2014;10020;1263;216000;91002;Rep. y conserv. equipos procesos de información;251,17
2014;10020;1263;220000;91002;Ordinario no inventariable;7.281,88
2014;10020;1263;220001;91002;Mobiliario y enseres;2.650,13
